item_id,category,color,pattern,material,occasion_type,season_suitability,weather_condition,temperature_C,wear_count_last30days,days_since_last_worn,color_harmony_score,occasion_match_score,weather_match_score,diversity_score,utility_score,outfit_accepted
64,shoes,white,floral,denim,wedding,winter,cold,9.6,12,55,0.66,0.99,0.73,0.2,0.71,1
65,bottom,white,striped,leather,interview,winter,hot,35.4,6,17,0.68,0.94,0.55,0.6,0.7,1
66,top,white,plain,wool,outdoor,summer,cold,27.0,13,5,0.46,0.87,0.29,0.13,0.47,0
67,shoes,navy,floral,linen,interview,both,cold,21.6,15,30,0.47,0.64,0.51,0,0.46,0
68,shoes,navy,solid,linen,party,winter,windy,15.7,0,18,0.81,0.87,0.66,1.0,0.8,1
69,top,green,plain,silk,wedding,winter,windy,35.5,12,29,0.95,0.9,0.98,0.2,0.83,1
70,bottom,grey,floral,cotton,wedding,both,hot,33.2,12,24,0.99,0.83,0.72,0.2,0.73,1
71,top,navy,plain,leather,casual,winter,sunny,26.0,14,0,0.81,0.53,0.72,0.07,0.58,1
72,bottom,beige,checkered,canvas,outdoor,summer,cold,39.1,12,20,0.74,0.91,0.59,0.2,0.66,1
73,shoes,black,striped,linen,formal,both,sunny,22.4,3,48,0.74,0.9,0.55,0.8,0.73,1
74,top,white,checkered,cotton,wedding,winter,cold,22.2,7,33,0.59,0.75,0.34,0.53,0.54,0
75,shoes,blue,plain,wool,party,both,rainy,14.3,8,29,0.48,0.21,0.84,0.47,0.52,0
76,shoes,brown,striped,denim,party,winter,windy,17.0,13,44,0.48,0.88,0.36,0.13,0.51,0
77,bottom,black,striped,canvas,interview,winter,windy,16.8,9,1,0.98,0.73,0.42,0.4,0.62,1
78,shoes,white,plain,silk,wedding,summer,windy,37.1,7,40,0.43,0.4,0.8,0.53,0.57,1
79,shoes,navy,solid,cotton,wedding,winter,sunny,28.2,4,5,0.94,0.46,0.53,0.73,0.62,1
80,shoes,red,plain,linen,formal,winter,hot,43.7,9,47,0.91,0.84,0.57,0.4,0.69,0
81,top,blue,plain,leather,casual,winter,sunny,15.6,3,29,0.56,0.8,0.41,0.8,0.62,1
82,shoes,red,solid,wool,party,summer,windy,40.4,10,58,0.73,0.72,0.71,0.33,0.66,1
83,shoes,beige,floral,denim,formal,summer,sunny,17.2,15,7,0.37,0.91,0.31,0,0.46,0
84,shoes,brown,floral,polyester,party,both,sunny,38.3,13,60,0.97,0.23,0.5,0.13,0.46,0
85,top,red,solid,leather,interview,both,cold,7.4,8,12,0.98,0.96,0.86,0.47,0.86,0
86,top,maroon,solid,cotton,wedding,summer,rainy,36.5,6,4,0.88,0.64,0.67,0.6,0.69,1
87,top,red,striped,cotton,wedding,summer,rainy,26.6,5,7,0.76,0.22,0.21,0.67,0.39,0
88,top,maroon,checkered,cotton,formal,winter,sunny,10.1,13,33,0.38,0.25,0.56,0.13,0.37,0
89,shoes,black,floral,wool,interview,summer,windy,17.1,0,3,1.0,0.88,0.54,1.0,0.8,0
90,shoes,green,solid,denim,wedding,both,rainy,7.6,8,39,0.74,0.64,0.46,0.47,0.57,1
91,shoes,beige,floral,canvas,casual,both,sunny,39.1,6,27,0.62,0.38,0.47,0.6,0.49,0
92,bottom,black,checkered,canvas,wedding,both,cold,20.0,4,43,0.95,0.25,0.87,0.73,0.68,0
93,top,red,striped,cotton,interview,both,windy,18.2,3,26,0.55,0.73,0.8,0.8,0.73,1
94,shoes,white,checkered,linen,wedding,summer,windy,25.3,4,42,0.64,0.88,0.48,0.73,0.67,1
95,top,beige,plain,wool,party,both,windy,29.5,0,38,0.95,0.86,0.41,1.0,0.74,1
96,shoes,beige,checkered,leather,casual,summer,rainy,27.7,12,4,0.4,0.71,0.22,0.2,0.4,0
97,top,blue,floral,silk,wedding,summer,cold,17.5,10,49,0.96,0.68,0.91,0.33,0.76,1
98,shoes,white,solid,linen,party,both,hot,24.4,14,26,0.49,0.8,0.29,0.07,0.45,0
99,bottom,maroon,floral,linen,casual,summer,hot,44.4,1,0,0.44,0.96,0.81,0.93,0.8,1
100,bottom,red,solid,cotton,party,both,hot,12.0,12,34,0.79,0.6,0.87,0.2,0.67,1
101,top,blue,solid,canvas,casual,winter,sunny,39.5,13,36,0.58,0.71,0.43,0.13,0.5,0
102,bottom,navy,plain,silk,outdoor,winter,sunny,22.5,3,15,0.6,0.52,0.26,0.8,0.49,0
103,shoes,red,striped,leather,formal,summer,windy,30.3,6,57,0.84,0.48,0.97,0.6,0.74,1
104,top,grey,solid,polyester,wedding,summer,rainy,29.1,2,11,0.97,0.7,0.57,0.87,0.73,1
105,shoes,green,plain,leather,outdoor,winter,rainy,22.6,15,28,0.74,0.84,0.67,0,0.63,1
106,top,beige,floral,silk,casual,summer,cold,38.3,2,41,0.9,0.88,0.69,0.87,0.82,1
107,bottom,maroon,plain,cotton,party,both,rainy,17.9,15,32,0.41,0.25,0.28,0,0.26,0
108,bottom,black,plain,polyester,casual,summer,hot,44.6,5,23,0.56,0.43,0.53,0.67,0.53,0
109,shoes,white,checkered,denim,wedding,summer,windy,32.1,9,16,0.81,0.73,0.93,0.4,0.77,1
110,bottom,black,plain,polyester,wedding,winter,hot,10.2,2,19,0.69,0.71,0.46,0.87,0.64,0
111,shoes,brown,solid,canvas,interview,winter,sunny,19.5,5,60,0.45,0.96,0.59,0.67,0.68,1
112,top,navy,solid,linen,casual,both,windy,38.4,1,42,0.54,0.81,0.3,0.93,0.6,1
113,top,navy,plain,polyester,outdoor,winter,sunny,21.4,7,28,0.73,0.8,0.83,0.53,0.76,1
114,top,beige,floral,wool,wedding,both,windy,44.4,14,49,0.5,0.51,0.62,0.07,0.48,0
115,top,maroon,striped,linen,casual,both,hot,40.0,3,45,0.89,0.88,0.43,0.8,0.71,1
116,bottom,green,plain,polyester,party,summer,rainy,37.7,11,59,0.32,0.24,0.6,0.27,0.39,0
117,top,red,striped,cotton,wedding,summer,cold,36.7,4,2,0.5,0.86,0.76,0.73,0.73,0
118,shoes,green,floral,cotton,casual,summer,cold,13.6,4,35,0.96,0.69,0.54,0.73,0.7,1
119,top,beige,solid,cotton,formal,winter,windy,23.3,3,53,0.93,0.68,0.21,0.8,0.58,1
120,top,navy,checkered,canvas,casual,both,cold,14.6,13,11,0.77,0.27,0.98,0.13,0.6,0
121,shoes,brown,plain,cotton,party,winter,sunny,30.4,11,16,0.82,0.49,0.25,0.27,0.44,0
122,shoes,black,plain,leather,formal,summer,cold,26.8,5,53,0.85,0.57,0.76,0.67,0.71,1
123,top,black,floral,cotton,wedding,summer,sunny,36.6,1,20,0.95,0.61,0.99,0.93,0.86,1
124,bottom,white,striped,linen,wedding,summer,cold,15.9,11,27,0.92,0.79,0.92,0.27,0.78,1
125,top,green,floral,leather,interview,winter,sunny,34.1,2,27,0.72,0.86,0.64,0.87,0.76,1
126,top,red,checkered,linen,party,both,hot,11.7,14,22,0.61,0.78,0.93,0.07,0.69,1
127,bottom,beige,solid,denim,outdoor,both,hot,19.5,5,60,0.32,0.88,0.74,0.67,0.69,1
128,top,black,striped,leather,wedding,winter,windy,6.3,4,43,0.61,0.5,0.56,0.73,0.58,0
129,top,brown,checkered,canvas,wedding,both,cold,15.0,3,1,0.81,0.6,0.51,0.8,0.64,1
130,bottom,beige,floral,wool,interview,winter,hot,13.0,4,54,0.35,0.34,0.77,0.73,0.55,0
131,shoes,red,checkered,denim,interview,both,cold,40.7,5,45,0.8,0.76,0.34,0.67,0.61,1
132,top,black,striped,polyester,formal,winter,sunny,19.4,11,29,0.86,0.64,0.69,0.27,0.65,0
133,bottom,blue,floral,canvas,party,both,sunny,10.0,10,41,0.35,0.57,0.61,0.33,0.5,0
134,shoes,maroon,striped,polyester,party,both,sunny,38.3,4,19,0.42,0.46,0.77,0.73,0.6,1
135,shoes,beige,solid,linen,formal,both,windy,16.0,9,39,0.67,0.6,0.33,0.4,0.49,0
136,top,navy,plain,leather,interview,summer,sunny,8.2,8,41,0.45,0.66,0.69,0.47,0.6,0
137,shoes,brown,checkered,linen,party,summer,hot,16.9,2,44,0.34,0.55,0.59,0.87,0.57,1
138,shoes,navy,checkered,leather,outdoor,winter,hot,10.2,11,32,0.69,0.46,0.57,0.27,0.52,0
139,top,navy,solid,cotton,wedding,winter,windy,21.7,5,52,0.53,0.66,0.45,0.67,0.56,1
140,bottom,brown,floral,silk,wedding,winter,sunny,8.6,12,32,0.62,0.39,0.67,0.2,0.51,1
141,bottom,green,plain,silk,wedding,both,sunny,38.9,13,8,0.92,0.78,0.81,0.13,0.72,1
142,bottom,white,plain,wool,wedding,both,cold,7.9,14,48,0.68,0.86,0.7,0.07,0.65,1
143,top,black,floral,leather,wedding,both,cold,35.2,6,38,0.66,0.6,0.24,0.6,0.49,0
144,bottom,green,plain,silk,formal,both,windy,10.6,10,10,0.58,0.69,0.87,0.33,0.68,1
145,shoes,brown,plain,silk,outdoor,both,cold,24.0,0,23,0.53,0.29,0.53,1.0,0.53,0
146,shoes,white,plain,silk,wedding,both,windy,28.1,1,37,0.64,0.62,0.78,0.93,0.73,1
147,bottom,navy,striped,cotton,interview,both,sunny,12.6,14,20,0.59,0.53,0.36,0.07,0.41,0
148,shoes,green,solid,polyester,interview,summer,windy,18.0,15,33,0.56,0.97,0.57,0,0.6,1
149,shoes,red,checkered,silk,formal,summer,cold,27.3,7,60,0.98,0.44,0.43,0.53,0.56,1
150,shoes,green,checkered,silk,wedding,both,cold,16.5,12,57,0.99,0.85,0.96,0.2,0.82,1
151,bottom,white,checkered,denim,wedding,winter,cold,34.9,6,12,0.88,0.42,0.65,0.6,0.62,1
152,top,maroon,plain,wool,formal,summer,windy,14.0,7,3,0.37,0.46,0.58,0.53,0.49,0
153,top,white,plain,polyester,party,both,hot,24.1,6,48,0.97,0.46,0.72,0.6,0.67,1
154,top,maroon,striped,cotton,formal,winter,rainy,42.4,1,53,0.58,0.6,0.95,0.93,0.77,1
155,bottom,white,solid,linen,interview,both,sunny,42.1,10,18,0.62,0.71,0.62,0.33,0.6,1
156,top,brown,floral,linen,formal,summer,cold,11.5,14,41,0.48,0.35,0.79,0.07,0.49,0
157,shoes,grey,striped,canvas,party,both,cold,8.5,3,11,0.99,0.58,0.95,0.8,0.82,0
158,bottom,grey,floral,linen,wedding,winter,windy,33.9,0,16,0.76,0.75,0.25,1.0,0.61,0
159,bottom,navy,floral,linen,outdoor,summer,cold,19.7,7,14,0.97,0.58,0.56,0.53,0.64,1
160,bottom,blue,plain,silk,interview,both,rainy,35.5,2,33,0.61,0.76,0.26,0.87,0.57,1
161,top,brown,plain,wool,interview,both,rainy,11.6,14,7,0.78,0.77,0.59,0.07,0.6,1
162,bottom,white,floral,polyester,interview,winter,hot,27.6,14,43,0.86,0.78,0.52,0.07,0.6,1
163,shoes,grey,plain,denim,casual,winter,cold,33.0,1,59,0.93,0.99,0.58,0.93,0.83,1
164,top,navy,floral,leather,party,winter,hot,20.0,4,41,0.9,0.29,0.99,0.73,0.72,1
165,top,grey,solid,cotton,wedding,winter,windy,22.0,12,52,0.46,0.57,0.32,0.2,0.41,0
166,shoes,black,solid,canvas,interview,summer,rainy,13.2,3,38,0.32,0.68,0.76,0.8,0.65,0
167,shoes,white,floral,silk,formal,both,rainy,35.2,1,8,0.65,0.43,0.85,0.93,0.7,1
168,bottom,maroon,plain,leather,formal,winter,rainy,44.4,7,26,0.51,0.25,0.96,0.53,0.59,1
169,top,blue,plain,silk,casual,winter,hot,36.4,10,44,0.59,0.32,0.5,0.33,0.44,0
170,bottom,grey,striped,linen,outdoor,summer,hot,41.6,13,26,0.69,0.31,0.39,0.13,0.39,0
171,shoes,black,floral,leather,casual,both,rainy,7.1,12,43,0.72,0.23,0.26,0.2,0.33,0
172,shoes,brown,striped,silk,formal,winter,cold,43.3,0,13,0.96,0.97,0.29,1.0,0.73,1
173,bottom,grey,plain,wool,party,summer,windy,17.9,9,24,0.63,0.72,0.45,0.4,0.56,1
174,bottom,green,solid,silk,wedding,summer,cold,17.5,1,36,0.9,0.79,0.21,0.93,0.63,1
175,shoes,maroon,floral,linen,formal,summer,cold,14.2,7,31,0.69,0.95,0.47,0.53,0.67,1
176,bottom,green,floral,polyester,outdoor,winter,rainy,10.6,15,11,0.94,0.63,0.71,0,0.63,0
177,top,black,solid,cotton,party,summer,rainy,7.7,4,0,0.45,0.56,0.25,0.73,0.46,0
178,shoes,green,floral,cotton,casual,both,windy,21.5,0,33,0.81,0.63,0.43,1.0,0.65,1
179,shoes,blue,striped,denim,casual,both,rainy,14.6,8,52,0.55,0.84,0.26,0.47,0.52,0
180,bottom,maroon,striped,wool,wedding,both,sunny,31.1,1,5,0.58,0.5,0.58,0.93,0.61,1
181,shoes,navy,solid,silk,party,both,cold,27.6,3,57,0.67,0.23,0.37,0.8,0.45,0
182,shoes,green,checkered,cotton,casual,both,cold,41.0,1,11,0.95,0.45,0.97,0.93,0.8,1
183,shoes,blue,solid,linen,formal,both,rainy,27.7,12,43,0.93,0.47,0.8,0.2,0.64,0
184,shoes,black,plain,leather,casual,summer,hot,14.3,2,21,0.72,0.69,0.68,0.87,0.72,1
185,bottom,white,checkered,silk,party,summer,cold,27.1,12,27,0.43,0.67,0.5,0.2,0.49,0
186,bottom,grey,solid,denim,wedding,summer,hot,33.5,4,47,0.57,0.49,0.27,0.73,0.46,0
187,bottom,red,checkered,denim,formal,summer,rainy,22.2,13,6,0.32,0.48,0.27,0.13,0.32,0
188,bottom,blue,solid,linen,party,winter,sunny,34.0,7,36,0.66,0.75,0.34,0.53,0.56,1
189,bottom,green,striped,denim,formal,winter,cold,21.8,15,50,0.35,0.4,0.4,0,0.33,0
190,shoes,maroon,striped,silk,casual,summer,cold,5.3,12,21,0.89,0.5,0.89,0.2,0.67,1
191,bottom,maroon,striped,linen,wedding,both,rainy,24.2,5,25,0.98,0.43,0.76,0.67,0.69,1
192,shoes,grey,checkered,canvas,wedding,winter,cold,9.6,6,37,1.0,0.34,0.81,0.6,0.68,0
193,shoes,green,striped,silk,wedding,both,sunny,37.8,13,43,0.65,0.71,0.39,0.13,0.5,0
194,shoes,blue,floral,denim,party,both,hot,28.3,13,34,0.33,0.97,0.76,0.13,0.64,1
195,shoes,black,solid,wool,outdoor,both,cold,11.7,1,36,0.99,0.74,0.52,0.93,0.74,1
196,bottom,black,solid,denim,wedding,summer,windy,34.9,7,28,0.56,0.57,0.74,0.53,0.62,1
197,top,red,solid,silk,casual,winter,hot,41.8,2,7,0.88,0.78,0.48,0.87,0.71,1
198,top,brown,floral,leather,party,summer,hot,33.9,14,20,0.35,0.24,0.77,0.07,0.42,1
199,bottom,black,striped,wool,interview,summer,windy,11.4,13,29,0.46,0.52,0.35,0.13,0.39,0
200,bottom,blue,solid,wool,party,both,hot,20.6,6,13,0.49,0.76,0.84,0.6,0.71,1
201,shoes,navy,checkered,leather,formal,winter,sunny,15.5,15,33,0.98,0.45,0.51,0,0.51,0
202,top,red,checkered,silk,interview,summer,cold,41.7,2,43,0.39,0.29,0.44,0.87,0.45,0
203,shoes,navy,plain,canvas,party,both,rainy,28.0,13,11,0.64,0.63,0.94,0.13,0.67,1
204,top,brown,striped,silk,wedding,summer,rainy,17.6,14,39,0.34,0.49,0.21,0.07,0.3,0
205,bottom,brown,plain,silk,party,both,hot,21.6,14,31,0.42,0.65,0.84,0.07,0.58,1
206,top,beige,striped,linen,formal,winter,windy,34.7,15,35,0.66,0.66,0.41,0,0.47,0
207,bottom,brown,solid,silk,interview,summer,hot,9.1,7,19,0.91,0.23,0.41,0.53,0.47,0
208,top,green,solid,wool,formal,both,windy,32.6,13,10,0.73,0.83,0.85,0.13,0.71,1
209,shoes,red,plain,linen,interview,both,rainy,17.9,9,18,0.7,0.96,0.61,0.4,0.7,1
210,top,navy,floral,cotton,wedding,both,rainy,33.1,4,15,0.4,0.46,0.4,0.73,0.47,0
211,bottom,green,striped,linen,outdoor,winter,hot,23.1,2,25,0.66,0.42,0.95,0.87,0.72,1
212,bottom,red,plain,cotton,outdoor,summer,hot,30.4,11,54,0.34,0.63,0.37,0.27,0.43,0
213,top,green,checkered,leather,wedding,winter,windy,28.1,15,50,0.54,0.75,0.24,0,0.42,1
214,bottom,white,solid,polyester,party,winter,sunny,44.7,13,12,1.0,0.93,0.91,0.13,0.82,1
215,bottom,black,checkered,linen,casual,winter,rainy,7.1,9,46,0.79,0.39,0.72,0.4,0.59,1
216,top,grey,floral,denim,formal,both,rainy,25.8,14,0,0.31,0.47,0.3,0.07,0.32,0
217,shoes,navy,floral,denim,formal,winter,sunny,34.2,3,6,0.52,0.9,0.31,0.8,0.6,1
218,top,navy,solid,cotton,interview,both,rainy,22.6,6,40,0.82,0.94,0.69,0.6,0.78,1
219,top,black,solid,polyester,casual,both,hot,19.1,13,20,0.85,0.4,0.72,0.13,0.56,1
220,shoes,maroon,plain,linen,outdoor,summer,cold,13.2,6,47,0.57,0.72,0.83,0.6,0.71,1
221,top,green,floral,denim,formal,winter,windy,7.8,0,23,0.95,0.31,0.89,1.0,0.74,1
222,bottom,brown,striped,silk,casual,summer,windy,7.7,8,13,0.33,0.25,0.83,0.47,0.5,0
223,shoes,brown,floral,canvas,outdoor,winter,sunny,30.6,4,17,0.36,0.26,0.94,0.73,0.59,1
224,top,brown,checkered,canvas,interview,both,sunny,17.4,13,46,0.97,0.39,0.4,0.13,0.47,0
225,top,green,plain,cotton,wedding,both,rainy,9.8,4,44,0.31,0.6,0.48,0.73,0.52,0
226,shoes,beige,striped,leather,formal,both,cold,34.3,3,49,0.93,0.47,0.54,0.8,0.64,1
227,bottom,maroon,solid,silk,party,both,cold,7.2,5,23,0.41,0.82,0.92,0.67,0.75,1
228,top,grey,plain,cotton,casual,summer,rainy,6.8,11,24,0.94,0.34,0.97,0.27,0.67,0
229,shoes,blue,striped,leather,formal,winter,cold,15.9,2,36,0.56,0.6,0.92,0.87,0.74,1
230,shoes,white,floral,denim,party,winter,cold,18.1,14,0,0.56,0.43,0.83,0.07,0.54,0
231,top,green,checkered,silk,formal,both,windy,35.4,7,9,0.3,0.53,0.39,0.53,0.43,0
232,shoes,white,checkered,cotton,outdoor,winter,cold,9.2,7,26,0.64,0.25,1.0,0.53,0.63,1
233,top,white,striped,canvas,outdoor,winter,hot,44.0,2,37,0.37,0.31,0.86,0.87,0.6,0
234,shoes,white,floral,polyester,formal,winter,cold,39.0,12,44,0.88,0.46,0.56,0.2,0.54,0
235,top,navy,plain,denim,formal,summer,rainy,23.0,10,26,0.38,0.49,0.82,0.33,0.56,1
236,bottom,beige,solid,denim,formal,both,cold,38.1,1,13,0.89,0.46,0.27,0.93,0.55,0
237,bottom,blue,plain,cotton,outdoor,winter,cold,37.8,5,1,0.97,0.88,0.64,0.67,0.78,1
238,top,green,solid,polyester,casual,summer,sunny,38.2,7,8,0.44,0.52,0.75,0.53,0.59,1
239,top,maroon,plain,linen,casual,summer,sunny,12.9,14,51,0.39,0.92,0.86,0.07,0.67,1
240,top,green,solid,polyester,interview,winter,hot,24.8,12,43,0.6,0.48,0.93,0.2,0.62,1
241,bottom,navy,solid,wool,outdoor,winter,hot,21.5,15,3,0.36,0.51,0.54,0,0.41,0
242,shoes,grey,plain,cotton,party,both,cold,24.2,15,22,0.94,0.6,0.51,0,0.55,0
243,bottom,maroon,striped,cotton,wedding,summer,hot,26.2,7,10,0.37,0.73,0.41,0.53,0.52,0
244,shoes,white,striped,canvas,wedding,summer,rainy,14.5,10,51,0.82,0.49,0.67,0.33,0.59,1
245,bottom,maroon,plain,polyester,interview,summer,hot,26.7,5,31,0.33,0.24,0.68,0.67,0.48,1
246,bottom,white,checkered,wool,formal,winter,rainy,41.8,10,3,0.32,0.67,0.93,0.33,0.64,1
247,shoes,red,solid,leather,outdoor,both,hot,28.4,10,19,0.53,0.98,0.79,0.33,0.73,1
248,shoes,green,checkered,polyester,outdoor,both,windy,36.5,7,42,0.71,0.34,0.45,0.53,0.48,0
249,top,navy,solid,canvas,interview,summer,rainy,29.1,7,40,0.7,0.95,0.31,0.53,0.61,1
250,top,red,checkered,polyester,outdoor,summer,cold,22.9,8,13,0.47,0.25,0.41,0.47,0.38,0
251,top,white,floral,silk,outdoor,winter,rainy,40.4,15,56,0.57,0.64,0.28,0,0.4,0
252,shoes,grey,striped,silk,casual,summer,cold,5.8,8,60,0.37,0.47,0.91,0.47,0.6,1
253,top,brown,solid,leather,interview,both,hot,33.2,13,60,0.76,0.69,0.55,0.13,0.57,0
254,bottom,grey,striped,canvas,outdoor,both,windy,15.6,9,19,0.47,0.24,0.66,0.4,0.46,0
255,top,white,checkered,cotton,party,summer,cold,38.0,15,12,0.37,0.37,0.71,0,0.43,0
256,bottom,black,checkered,canvas,party,winter,cold,8.6,12,11,0.56,0.51,0.35,0.2,0.42,1
